City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Tuatapere,NZ,-46.1333,167.6833,52.83,92,100,4.68,overcast clouds
178,Pervomayskoye,RU,43.919,46.7102,36.81,95,100,6.64,overcast clouds
179,Mehamn,NO,71.0357,27.8492,18.57,83,84,12.57,broken clouds
180,Chuy,UY,-33.6971,-53.4616,72.16,94,100,7.54,overcast clouds
181,Kahului,US,20.8947,-156.47,79.86,65,0,17.27,clear sky
182,Fengxian,CN,34.7039,116.5872,42.75,42,6,8.48,clear sky
183,Elizabeth City,US,36.2946,-76.2511,64.45,79,0,12.66,clear sky
184,Lavrentiya,RU,65.5833,-171.0,1.08,56,0,22.12,clear sky
185,Saravan,AM,39.7196,45.6483,25.45,70,41,5.28,scattered clouds
186,Bedburg,DE,50.9926,6.5713,46.72,86,100,12.62,overcast clouds
187,Do Gonbadan,IR,30.3586,50.7981,46.49,76,40,0.0,scattered clouds
188,Bardiyah,LY,31.7561,25.0865,53.78,63,48,29.68,scattered clouds
189,Vardo,NO,70.3705,31.1107,26.58,62,100,13.06,light snow
190,New Norfolk,AU,-42.7826,147.0587,73.76,34,3,4.0,clear sky
191,Jardim,BR,-21.4803,-56.1381,72.9,98,100,3.76,overcast clouds
192,Namie,JP,37.4833,141.0,43.97,56,100,5.37,overcast clouds
193,Vicuna,CL,-30.0319,-70.7081,56.93,64,0,0.83,clear sky
194,Faya,SA,18.3851,42.4509,51.91,55,7,2.91,clear sky
195,Talnakh,RU,69.4865,88.3972,-13.94,99,80,7.09,broken clouds
196,Deputatskiy,RU,69.3,139.9,-23.64,98,43,1.34,scattered clouds
197,Ho Chi Minh City,VN,10.75,106.6667,86.02,58,20,3.44,few clouds
198,Semnan,IR,35.5729,53.3971,40.5,52,47,1.81,scattered clouds
199,Nanortalik,GL,60.1432,-45.2371,26.46,95,100,12.82,snow
200,Sibolga,ID,1.7427,98.7792,82.33,70,61,2.68,broken clouds
201,Hami,CN,42.8,93.45,24.12,33,14,1.77,few clouds
202,Karratha,AU,-20.7377,116.8463,93.4,41,75,11.88,broken clouds
203,Imbituba,BR,-28.24,-48.6703,78.69,93,11,15.1,few clouds
204,Port Hedland,AU,-20.3167,118.5667,95.05,41,84,19.57,broken clouds
205,Bakchar,RU,57.0186,82.0711,7.95,92,78,7.94,broken clouds
