City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Codrington,AU,2022-02-04 03:46:17,-38.2667,141.9667,68.0,59,71,16.15
88,Coquimbo,CL,2022-02-04 03:46:27,-29.9533,-71.3436,64.13,82,20,3.44
89,Beloha,MG,2022-02-04 03:49:32,-25.1667,45.05,75.33,80,5,11.52
90,Rikitea,PF,2022-02-04 03:49:32,-23.1203,-134.9692,78.22,74,100,17.02
91,Lima,PE,2022-02-04 03:49:33,-12.0432,-77.0282,70.9,80,0,1.01
92,Salalah,OM,2022-02-04 03:44:50,17.0151,54.0924,66.29,77,0,3.44
93,Mataura,NZ,2022-02-04 03:49:33,-46.1927,168.8643,52.48,99,100,2.26
94,Alice Springs,AU,2022-02-04 03:47:30,-23.7,133.8833,78.35,36,98,14.97
95,Sao Joao Da Barra,BR,2022-02-04 03:49:34,-21.6403,-41.0511,73.27,98,98,5.57
96,Vila Franca Do Campo,PT,2022-02-04 03:48:30,37.7167,-25.4333,60.19,81,100,11.54
97,Bambous Virieux,MU,2022-02-04 03:46:56,-20.3428,57.7575,81.21,94,75,20.71
98,Cherskiy,RU,2022-02-04 03:47:39,68.75,161.3,-30.35,99,13,2.53
99,Pryozerne,UA,2022-02-04 03:49:34,45.2698,36.3303,36.0,86,100,14.43
100,Ilulissat,GL,2022-02-04 03:49:35,69.2167,-51.1,23.02,50,100,11.5
101,Yamada,JP,2022-02-04 03:49:35,39.4667,141.95,36.18,42,83,12.57
102,Kalmunai,LK,2022-02-04 03:49:36,7.4167,81.8167,79.34,71,6,4.97
103,Port Lincoln,AU,2022-02-04 03:45:17,-34.7333,135.8667,68.34,55,37,14.23
104,Ancud,CL,2022-02-04 03:49:36,-41.8697,-73.8203,60.22,96,32,3.83
105,Karasjok,NO,2022-02-04 03:49:36,69.4719,25.5112,6.91,100,97,5.97
106,Cayenne,GF,2022-02-04 03:49:37,4.9333,-52.3333,79.09,90,75,1.01
107,Ugoofaaru,MV,2022-02-04 03:49:37,5.6667,73.0,80.98,73,43,10.04
108,Soderhamn,SE,2022-02-04 03:49:38,61.3037,17.0592,30.4,95,100,12.97
109,Carnarvon,AU,2022-02-04 03:48:18,-24.8667,113.6333,96.87,36,32,9.22
110,Clyde,US,2022-02-04 03:49:38,41.3042,-82.9752,21.51,91,100,17.67
111,Lapeer,US,2022-02-04 03:49:38,43.0514,-83.3188,19.24,79,75,6.91
112,Nuuk,GL,2022-02-04 03:49:39,64.1835,-51.7216,12.81,92,100,4.61
113,Manaure,CO,2022-02-04 03:49:39,11.7751,-72.4445,78.03,81,21,15.59
114,Kodiak,US,2022-02-04 03:49:40,57.79,-152.4072,38.71,81,100,17.27
115,Cockburn Town,TC,2022-02-04 03:49:40,21.4612,-71.1419,75.83,71,1,19.48
116,Grindavik,IS,2022-02-04 03:49:40,63.8424,-22.4338,28.35,74,40,23.02
117,Moroni,KM,2022-02-04 03:49:41,-11.7022,43.2551,80.58,82,100,10.04
118,Astanajapura,ID,2022-02-04 03:49:41,-6.8017,108.6311,84.63,68,57,3.58
119,Svetlaya,RU,2022-02-04 03:49:42,46.5389,138.3297,17.55,52,8,2.71
120,Chuy,UY,2022-02-04 03:49:42,-33.6971,-53.4616,70.92,95,100,6.29
121,Lata,PT,2022-02-04 03:49:42,40.1629,-8.3327,48.07,97,98,1.1
122,Cornwall,CA,2022-02-04 03:49:43,45.0181,-74.7281,19.85,79,100,16.11
123,Tekeli,KZ,2022-02-04 03:49:43,44.83,78.8239,20.41,73,42,7.05
124,Vaini,TO,2022-02-04 03:47:37,-21.2,-175.2,86.16,79,75,10.36
125,Puerto Asis,CO,2022-02-04 03:49:44,0.5133,-76.5007,70.65,95,56,2.82
126,Koumac,NC,2022-02-04 03:49:44,-20.5667,164.2833,84.81,77,94,10.42
127,Puerto Ayora,EC,2022-02-04 03:49:45,-0.7393,-90.3518,75.54,93,7,4.0
128,Thompson,CA,2022-02-04 03:49:45,55.7435,-97.8558,-20.04,69,0,5.75
129,Baruun-Urt,MN,2022-02-04 03:49:45,46.6806,113.2792,1.44,74,5,7.67
130,Abrau-Dyurso,RU,2022-02-04 03:49:46,44.69,37.59,35.06,92,100,11.63
131,Guerrero Negro,MX,2022-02-04 03:49:46,27.9769,-114.0611,58.03,29,0,14.18
132,Curillo,CO,2022-02-04 03:49:47,1.0333,-75.9191,74.86,81,48,0.69
133,Forest,US,2022-02-04 03:49:47,37.3638,-79.2897,55.0,100,100,0.0
134,Kamloops,CA,2022-02-04 03:45:03,50.6665,-120.3192,24.58,86,75,2.3
135,Ambo,PE,2022-02-04 03:49:48,-10.1308,-76.2047,58.89,94,98,1.68
136,Yar-Sale,RU,2022-02-04 03:48:36,66.8333,70.8333,-2.09,98,98,4.79
137,Kerouane,GN,2022-02-04 03:49:49,9.2667,-9.0167,65.59,17,5,2.19
138,Meulaboh,ID,2022-02-04 03:49:49,4.1363,96.1285,84.0,65,87,3.04
139,Mokobeng,BW,2022-02-04 03:49:50,-22.9965,27.6678,73.15,72,1,7.29
140,Kruisfontein,ZA,2022-02-04 03:47:31,-34.0033,24.7314,63.88,75,79,9.17
141,Sayat,TM,2022-02-04 03:49:50,38.7839,63.8803,35.47,55,31,8.77
142,San Patricio,US,2022-02-04 03:47:24,28.017,-97.5169,35.83,75,74,16.15
143,Villa Carlos Paz,AR,2022-02-04 03:46:58,-31.4241,-64.4978,70.39,45,0,5.01
144,Barreirinhas,BR,2022-02-04 03:49:51,-2.7469,-42.8264,76.42,91,90,7.23
145,Pizarro,CO,2022-02-04 03:49:52,4.9533,-77.366,75.74,91,77,4.61
146,Hobart,AU,2022-02-04 03:46:04,-42.8794,147.3294,74.01,47,20,1.99
147,Paamiut,GL,2022-02-04 03:49:52,61.994,-49.6678,22.66,72,100,35.05
148,Pundaguitan,PH,2022-02-04 03:49:53,6.3711,126.1689,76.23,89,100,12.95
149,Hithadhoo,MV,2022-02-04 03:49:21,-0.6,73.0833,81.73,74,100,10.11
150,Caravelas,BR,2022-02-04 03:49:53,-17.7125,-39.2481,76.03,91,98,3.98
151,Bengkulu,ID,2022-02-04 03:47:56,-3.8004,102.2655,80.4,76,97,2.73
152,Leningradskiy,RU,2022-02-04 03:49:53,69.3833,178.4167,-10.32,83,3,7.58
153,Zhurivka,UA,2022-02-04 03:49:54,50.5028,31.7849,22.98,97,76,8.23
154,Carutapera,BR,2022-02-04 03:49:54,-1.195,-46.02,76.42,89,100,6.44
155,Ornes,NO,2022-02-04 03:49:55,66.8689,13.7078,23.11,75,100,16.91
156,Lagoa,PT,2022-02-04 03:49:55,39.05,-27.9833,57.67,76,100,11.3
157,Papara,BR,2022-02-04 03:49:56,-3.9839,-38.7273,81.0,93,93,2.46
158,Forio,IT,2022-02-04 03:49:56,40.7342,13.8646,52.43,82,95,9.37
159,Brighton,GB,2022-02-04 03:45:15,50.8284,-0.1395,50.41,88,99,10.0
160,Airai,TL,2022-02-04 03:49:56,-8.9266,125.4092,73.83,61,78,5.08
161,Talara,PE,2022-02-04 03:49:57,-4.5772,-81.2719,71.78,85,39,10.29
162,Pueblo Nuevo,MX,2022-02-04 03:46:10,23.3833,-105.3833,40.86,68,35,5.35
163,Tuatapere,NZ,2022-02-04 03:49:15,-46.1333,167.6833,52.83,91,100,4.23
164,Rocha,UY,2022-02-04 03:48:27,-34.4833,-54.3333,70.23,97,100,7.58
165,Yagodnoye,RU,2022-02-04 03:49:58,62.55,149.6667,-13.58,94,49,4.32
166,Yerbogachen,RU,2022-02-04 03:49:58,61.2767,108.0108,9.93,94,100,5.03
167,Ichinohe,JP,2022-02-04 03:49:58,40.2069,141.3017,30.25,71,91,13.13
168,Cidreira,BR,2022-02-04 03:49:59,-30.1811,-50.2056,75.52,90,88,20.33
169,Vezirkopru,TR,2022-02-04 03:49:59,41.1436,35.4547,37.89,98,100,4.03
170,Saint George,US,2022-02-04 03:47:31,37.1041,-113.5841,40.24,32,0,3.0
171,Athabasca,CA,2022-02-04 03:48:45,54.7169,-113.2854,-11.38,90,100,5.88
172,Zhanaozen,KZ,2022-02-04 03:50:00,43.3,52.8,39.11,63,98,16.13
173,Upernavik,GL,2022-02-04 03:50:00,72.7868,-56.1549,4.84,68,100,5.66
174,Auki,SB,2022-02-04 03:47:01,-8.7676,160.7034,75.88,92,100,9.04
175,Hofn,IS,2022-02-04 03:50:01,64.2539,-15.2082,29.64,55,100,18.48
176,Katubao,PH,2022-02-04 03:50:01,5.8892,124.8294,83.8,72,98,2.08
177,Iqaluit,CA,2022-02-04 03:50:02,63.7506,-68.5145,-7.87,59,75,6.91
178,Ponta Delgada,PT,2022-02-04 03:50:02,37.7333,-25.6667,60.49,72,20,12.66
